image_path,target
Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00071.png,36.0
Chars74kDataset/Img\GoodImg\Bmp\Sample045\img045-00038.png,44.0
Chars74kDataset/Img\BadImag\Bmp\Sample005\img005-00025.png,4.0
Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00137.png,13.0
Chars74kDataset/Img\GoodImg\Bmp\Sample044\img044-00041.png,43.0
Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00200.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample023\img023-00028.png,22.0
Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00059.png,18.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00036.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00071.png,50.0
Chars74kDataset/Img\GoodImg\Bmp\Sample023\img023-00118.png,22.0
Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00117.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00123.png,25.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00004.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00292.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00215.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00165.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00114.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample057\img057-00036.png,56.0
Chars74kDataset/Img\BadImag\Bmp\Sample047\img047-00014.png,46.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00266.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample048\img048-00074.png,47.0
Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00055.png,50.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00110.png,17.0
Chars74kDataset/Img\BadImag\Bmp\Sample035\img035-00026.png,34.0
Chars74kDataset/Img\BadImag\Bmp\Sample052\img052-00010.png,51.0
Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00158.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample023\img023-00031.png,22.0
Chars74kDataset/Img\BadImag\Bmp\Sample048\img048-00007.png,47.0
Chars74kDataset/Img\GoodImg\Bmp\Sample055\img055-00017.png,54.0
Chars74kDataset/Img\BadImag\Bmp\Sample003\img003-00027.png,2.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00246.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00284.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00076.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample023\img023-00096.png,22.0
Chars74kDataset/Img\GoodImg\Bmp\Sample061\img061-00031.png,60.0
Chars74kDataset/Img\BadImag\Bmp\Sample022\img022-00083.png,21.0
Chars74kDataset/Img\GoodImg\Bmp\Sample046\img046-00023.png,45.0
Chars74kDataset/Img\GoodImg\Bmp\Sample039\img039-00038.png,38.0
Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00156.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample051\img051-00024.png,50.0
Chars74kDataset/Img\BadImag\Bmp\Sample020\img020-00017.png,19.0
Chars74kDataset/Img\GoodImg\Bmp\Sample034\img034-00064.png,33.0
Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00010.png,21.0
Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00004.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00067.png,40.0
Chars74kDataset/Img\BadImag\Bmp\Sample008\img008-00008.png,7.0
Chars74kDataset/Img\GoodImg\Bmp\Sample035\img035-00033.png,34.0
Chars74kDataset/Img\GoodImg\Bmp\Sample027\img027-00001.png,26.0
Chars74kDataset/Img\BadImag\Bmp\Sample057\img057-00001.png,56.0
Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00097.png,49.0
Chars74kDataset/Img\GoodImg\Bmp\Sample043\img043-00035.png,42.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00230.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00208.png,12.0
Chars74kDataset/Img\GoodImg\Bmp\Sample017\img017-00025.png,16.0
Chars74kDataset/Img\GoodImg\Bmp\Sample039\img039-00043.png,38.0
Chars74kDataset/Img\GoodImg\Bmp\Sample045\img045-00003.png,44.0
Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00028.png,12.0
Chars74kDataset/Img\GoodImg\Bmp\Sample023\img023-00042.png,22.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00155.png,24.0
Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00150.png,23.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00005.png,23.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00268.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample003\img003-00029.png,2.0
Chars74kDataset/Img\GoodImg\Bmp\Sample003\img003-00006.png,2.0
Chars74kDataset/Img\GoodImg\Bmp\Sample053\img053-00043.png,52.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00192.png,17.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00395.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample016\img016-00030.png,15.0
Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00176.png,21.0
Chars74kDataset/Img\BadImag\Bmp\Sample043\img043-00005.png,42.0
Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00060.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00072.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00196.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00049.png,21.0
Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00245.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample012\img012-00013.png,11.0
Chars74kDataset/Img\GoodImg\Bmp\Sample012\img012-00100.png,11.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00111.png,18.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00512.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00367.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00180.png,23.0
Chars74kDataset/Img\BadImag\Bmp\Sample023\img023-00076.png,22.0
Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00197.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00352.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample002\img002-00006.png,1.0
Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00075.png,50.0
Chars74kDataset/Img\GoodImg\Bmp\Sample055\img055-00066.png,54.0
Chars74kDataset/Img\BadImag\Bmp\Sample042\img042-00003.png,41.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00116.png,13.0
Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00091.png,13.0
Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00165.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00471.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00179.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00191.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample060\img060-00034.png,59.0
Chars74kDataset/Img\GoodImg\Bmp\Sample017\img017-00099.png,16.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00292.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample057\img057-00011.png,56.0
Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00086.png,21.0
Chars74kDataset/Img\BadImag\Bmp\Sample009\img009-00009.png,8.0
Chars74kDataset/Img\GoodImg\Bmp\Sample016\img016-00057.png,15.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00158.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00045.png,50.0
Chars74kDataset/Img\GoodImg\Bmp\Sample042\img042-00012.png,41.0
Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00079.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample040\img040-00052.png,39.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00326.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00344.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00001.png,49.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00088.png,13.0
Chars74kDataset/Img\GoodImg\Bmp\Sample052\img052-00020.png,51.0
Chars74kDataset/Img\BadImag\Bmp\Sample049\img049-00013.png,48.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00241.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample055\img055-00051.png,54.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00024.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00018.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample062\img062-00009.png,61.0
Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00007.png,21.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00304.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample001\img001-00012.png,0.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00102.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample056\img056-00018.png,55.0
Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00016.png,36.0
Chars74kDataset/Img\GoodImg\Bmp\Sample008\img008-00025.png,7.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00045.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample043\img043-00022.png,42.0
Chars74kDataset/Img\GoodImg\Bmp\Sample007\img007-00062.png,6.0
Chars74kDataset/Img\BadImag\Bmp\Sample055\img055-00002.png,54.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00185.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample021\img021-00001.png,20.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00136.png,13.0
Chars74kDataset/Img\BadImag\Bmp\Sample039\img039-00032.png,38.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00014.png,13.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00190.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample035\img035-00036.png,34.0
Chars74kDataset/Img\GoodImg\Bmp\Sample053\img053-00004.png,52.0
Chars74kDataset/Img\GoodImg\Bmp\Sample059\img059-00023.png,58.0
Chars74kDataset/Img\BadImag\Bmp\Sample013\img013-00015.png,12.0
Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00098.png,29.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00040.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00362.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00355.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample008\img008-00029.png,7.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00439.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample034\img034-00008.png,33.0
Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00207.png,21.0
Chars74kDataset/Img\GoodImg\Bmp\Sample033\img033-00007.png,32.0
Chars74kDataset/Img\GoodImg\Bmp\Sample001\img001-00053.png,0.0
Chars74kDataset/Img\GoodImg\Bmp\Sample043\img043-00020.png,42.0
Chars74kDataset/Img\GoodImg\Bmp\Sample043\img043-00006.png,42.0
Chars74kDataset/Img\GoodImg\Bmp\Sample020\img020-00009.png,19.0
Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00001.png,13.0
Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00025.png,21.0
Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00051.png,23.0
Chars74kDataset/Img\BadImag\Bmp\Sample045\img045-00097.png,44.0
Chars74kDataset/Img\BadImag\Bmp\Sample023\img023-00068.png,22.0
Chars74kDataset/Img\GoodImg\Bmp\Sample016\img016-00072.png,15.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00160.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00060.png,23.0
Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00017.png,13.0
Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00090.png,36.0
Chars74kDataset/Img\GoodImg\Bmp\Sample055\img055-00034.png,54.0
Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00226.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00062.png,28.0
Chars74kDataset/Img\BadImag\Bmp\Sample023\img023-00008.png,22.0
Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00008.png,40.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00026.png,17.0
Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00047.png,24.0
Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00186.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample055\img055-00046.png,54.0
Chars74kDataset/Img\BadImag\Bmp\Sample039\img039-00024.png,38.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00158.png,23.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00242.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample002\img002-00042.png,1.0
Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00058.png,13.0
Chars74kDataset/Img\BadImag\Bmp\Sample044\img044-00007.png,43.0
Chars74kDataset/Img\GoodImg\Bmp\Sample003\img003-00024.png,2.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00498.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample023\img023-00095.png,22.0
Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00063.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample048\img048-00054.png,47.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00086.png,13.0
Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00190.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00030.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample056\img056-00024.png,55.0
Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00059.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample043\img043-00017.png,42.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00123.png,18.0
Chars74kDataset/Img\GoodImg\Bmp\Sample001\img001-00008.png,0.0
Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00041.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample054\img054-00056.png,53.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00202.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample048\img048-00053.png,47.0
Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00014.png,40.0
Chars74kDataset/Img\GoodImg\Bmp\Sample032\img032-00064.png,31.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00108.png,17.0
Chars74kDataset/Img\GoodImg\Bmp\Sample036\img036-00007.png,35.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00374.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample031\img031-00086.png,30.0
Chars74kDataset/Img\GoodImg\Bmp\Sample023\img023-00121.png,22.0
Chars74kDataset/Img\GoodImg\Bmp\Sample060\img060-00003.png,59.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00074.png,13.0
Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00042.png,13.0
Chars74kDataset/Img\GoodImg\Bmp\Sample044\img044-00045.png,43.0
Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00179.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00025.png,13.0
Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00158.png,24.0
Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00153.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00314.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00182.png,17.0
Chars74kDataset/Img\GoodImg\Bmp\Sample034\img034-00077.png,33.0
Chars74kDataset/Img\BadImag\Bmp\Sample061\img061-00027.png,60.0
Chars74kDataset/Img\GoodImg\Bmp\Sample001\img001-00065.png,0.0
Chars74kDataset/Img\GoodImg\Bmp\Sample007\img007-00027.png,6.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00021.png,17.0
Chars74kDataset/Img\GoodImg\Bmp\Sample006\img006-00027.png,5.0
Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00039.png,29.0
Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00127.png,40.0
Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00162.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample006\img006-00008.png,5.0
Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00013.png,24.0
Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00089.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00280.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample054\img054-00099.png,53.0
Chars74kDataset/Img\GoodImg\Bmp\Sample046\img046-00021.png,45.0
Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00006.png,40.0
Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00189.png,29.0
Chars74kDataset/Img\GoodImg\Bmp\Sample005\img005-00021.png,4.0
Chars74kDataset/Img\BadImag\Bmp\Sample012\img012-00024.png,11.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00061.png,18.0
Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00027.png,49.0
Chars74kDataset/Img\BadImag\Bmp\Sample055\img055-00027.png,54.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00368.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00183.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample001\img001-00082.png,0.0
Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00021.png,29.0
Chars74kDataset/Img\BadImag\Bmp\Sample017\img017-00066.png,16.0
Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00016.png,40.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00201.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00025.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00185.png,23.0
Chars74kDataset/Img\BadImag\Bmp\Sample045\img045-00003.png,44.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00135.png,13.0
Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00012.png,29.0
Chars74kDataset/Img\BadImag\Bmp\Sample050\img050-00071.png,49.0
Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00215.png,12.0
Chars74kDataset/Img\GoodImg\Bmp\Sample053\img053-00041.png,52.0
Chars74kDataset/Img\GoodImg\Bmp\Sample055\img055-00049.png,54.0
Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00199.png,29.0
Chars74kDataset/Img\GoodImg\Bmp\Sample008\img008-00014.png,7.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00080.png,23.0
Chars74kDataset/Img\GoodImg\Bmp\Sample060\img060-00018.png,59.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00254.png,18.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00521.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00108.png,18.0
Chars74kDataset/Img\GoodImg\Bmp\Sample045\img045-00125.png,44.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00193.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00178.png,21.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00138.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample002\img002-00049.png,1.0
Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00104.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample023\img023-00062.png,22.0
Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00114.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample017\img017-00143.png,16.0
Chars74kDataset/Img\GoodImg\Bmp\Sample021\img021-00082.png,20.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00208.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00112.png,50.0
Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00281.png,29.0
Chars74kDataset/Img\GoodImg\Bmp\Sample056\img056-00051.png,55.0
Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00028.png,50.0
Chars74kDataset/Img\GoodImg\Bmp\Sample032\img032-00080.png,31.0
Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00133.png,36.0
Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00095.png,49.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00061.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00146.png,13.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00094.png,23.0
Chars74kDataset/Img\BadImag\Bmp\Sample056\img056-00042.png,55.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00238.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample054\img054-00032.png,53.0
Chars74kDataset/Img\GoodImg\Bmp\Sample021\img021-00031.png,20.0
Chars74kDataset/Img\BadImag\Bmp\Sample013\img013-00058.png,12.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00008.png,13.0
Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00140.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00062.png,40.0
Chars74kDataset/Img\BadImag\Bmp\Sample001\img001-00004.png,0.0
Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00145.png,12.0
Chars74kDataset/Img\BadImag\Bmp\Sample044\img044-00013.png,43.0
Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00191.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample031\img031-00006.png,30.0
Chars74kDataset/Img\GoodImg\Bmp\Sample005\img005-00033.png,4.0
Chars74kDataset/Img\GoodImg\Bmp\Sample044\img044-00037.png,43.0
Chars74kDataset/Img\GoodImg\Bmp\Sample054\img054-00082.png,53.0
Chars74kDataset/Img\BadImag\Bmp\Sample051\img051-00077.png,50.0
Chars74kDataset/Img\GoodImg\Bmp\Sample034\img034-00056.png,33.0
Chars74kDataset/Img\BadImag\Bmp\Sample048\img048-00056.png,47.0
Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00087.png,29.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00033.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00381.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00158.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00173.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample001\img001-00084.png,0.0
Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00096.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00024.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample051\img051-00023.png,50.0
Chars74kDataset/Img\BadImag\Bmp\Sample001\img001-00006.png,0.0
Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00034.png,29.0
Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00205.png,29.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00155.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00027.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00335.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample038\img038-00024.png,37.0
Chars74kDataset/Img\GoodImg\Bmp\Sample052\img052-00032.png,51.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00164.png,28.0
Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00111.png,28.0
Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00040.png,29.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00209.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00052.png,23.0
Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00083.png,13.0
Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00114.png,13.0
