,image_path,target
2278,Chars74kDataset/Img\GoodImg\Bmp\Sample032\img032-00069.png,21.0
11344,Chars74kDataset/Img\GoodImg\Bmp\Sample017\img017-00054.png,6.0
9714,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00078.png,14.0
9626,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00173.png,0.0
6887,Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00130.png,11.0
9246,Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00074.png,8.0
7916,Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00005.png,14.0
9373,Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00140.png,14.0
1706,Chars74kDataset/Img\GoodImg\Bmp\Sample034\img034-00027.png,23.0
10902,Chars74kDataset/Img\GoodImg\Bmp\Sample056\img056-00068.png,19.0
7919,Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00005.png,15.0
7462,Chars74kDataset/Img\GoodImg\Bmp\Sample036\img036-00027.png,25.0
4869,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00258.png,14.0
6998,Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00025.png,14.0
910,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00305.png,18.0
5636,Chars74kDataset/Img\GoodImg\Bmp\Sample049\img049-00014.png,12.0
6050,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00461.png,0.0
11059,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00333.png,0.0
10558,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00009.png,4.0
6445,Chars74kDataset/Img\GoodImg\Bmp\Sample023\img023-00050.png,12.0
2143,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00226.png,4.0
3827,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00357.png,0.0
10537,Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00101.png,0.0
12446,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00198.png,19.0
9808,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00332.png,18.0
11396,Chars74kDataset/Img\BadImag\Bmp\Sample017\img017-00012.png,6.0
8022,Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00121.png,11.0
2912,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00288.png,0.0
2920,Chars74kDataset/Img\BadImag\Bmp\Sample056\img056-00058.png,19.0
5647,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00180.png,0.0
11434,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00080.png,0.0
11811,Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00137.png,15.0
4574,Chars74kDataset/Img\BadImag\Bmp\Sample033\img033-00027.png,22.0
2992,Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00038.png,0.0
3360,Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00108.png,18.0
499,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00153.png,17.0
11883,Chars74kDataset/Img\BadImag\Bmp\Sample045\img045-00007.png,8.0
12149,Chars74kDataset/Img\GoodImg\Bmp\Sample033\img033-00047.png,22.0
5157,Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00192.png,8.0
9488,Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00014.png,4.0
5925,Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00072.png,2.0
9215,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00171.png,13.0
7215,Chars74kDataset/Img\GoodImg\Bmp\Sample040\img040-00017.png,3.0
7141,Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00080.png,18.0
12140,Chars74kDataset/Img\GoodImg\Bmp\Sample021\img021-00051.png,10.0
5437,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00098.png,13.0
11096,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00099.png,7.0
6229,Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00125.png,0.0
513,Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00148.png,11.0
3485,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00235.png,0.0
3077,Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00031.png,3.0
3974,Chars74kDataset/Img\BadImag\Bmp\Sample023\img023-00025.png,12.0
3828,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00283.png,0.0
5778,Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00040.png,3.0
3167,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00137.png,13.0
2723,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00058.png,4.0
11809,Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00099.png,11.0
9070,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00019.png,7.0
10290,Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00028.png,0.0
627,Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00083.png,3.0
6301,Chars74kDataset/Img\BadImag\Bmp\Sample023\img023-00040.png,12.0
9797,Chars74kDataset/Img\BadImag\Bmp\Sample050\img050-00019.png,13.0
9002,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00119.png,17.0
4464,Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00158.png,15.0
5429,Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00171.png,4.0
11071,Chars74kDataset/Img\BadImag\Bmp\Sample023\img023-00009.png,12.0
8019,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00072.png,0.0
11651,Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00184.png,4.0
2013,Chars74kDataset/Img\BadImag\Bmp\Sample012\img012-00050.png,1.0
6403,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00156.png,18.0
8902,Chars74kDataset/Img\BadImag\Bmp\Sample056\img056-00048.png,19.0
11518,Chars74kDataset/Img\GoodImg\Bmp\Sample056\img056-00023.png,19.0
10778,Chars74kDataset/Img\GoodImg\Bmp\Sample017\img017-00019.png,6.0
5841,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00010.png,4.0
6325,Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00141.png,8.0
1292,Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00073.png,14.0
691,Chars74kDataset/Img\BadImag\Bmp\Sample048\img048-00010.png,11.0
5783,Chars74kDataset/Img\GoodImg\Bmp\Sample054\img054-00046.png,17.0
3314,Chars74kDataset/Img\GoodImg\Bmp\Sample023\img023-00113.png,12.0
1001,Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00030.png,14.0
2857,Chars74kDataset/Img\GoodImg\Bmp\Sample053\img053-00047.png,16.0
9515,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00181.png,14.0
3811,Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00036.png,11.0
2964,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00056.png,17.0
716,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00285.png,0.0
1144,Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00072.png,14.0
6198,Chars74kDataset/Img\BadImag\Bmp\Sample043\img043-00019.png,6.0
7513,Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00034.png,2.0
1129,Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00139.png,18.0
3886,Chars74kDataset/Img\GoodImg\Bmp\Sample035\img035-00066.png,24.0
8193,Chars74kDataset/Img\GoodImg\Bmp\Sample047\img047-00022.png,10.0
6540,Chars74kDataset/Img\GoodImg\Bmp\Sample031\img031-00037.png,20.0
5227,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00517.png,0.0
3281,Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00129.png,13.0
11228,Chars74kDataset/Img\GoodImg\Bmp\Sample059\img059-00013.png,22.0
5828,Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00114.png,0.0
2145,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00199.png,4.0
4948,Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00177.png,11.0
4778,Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00198.png,17.0
5133,Chars74kDataset/Img\GoodImg\Bmp\Sample012\img012-00102.png,1.0
3139,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00146.png,19.0
3935,Chars74kDataset/Img\BadImag\Bmp\Sample055\img055-00024.png,18.0
1813,Chars74kDataset/Img\BadImag\Bmp\Sample050\img050-00089.png,13.0
11209,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00164.png,17.0
9980,Chars74kDataset/Img\GoodImg\Bmp\Sample045\img045-00120.png,8.0
6690,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00152.png,14.0
10289,Chars74kDataset/Img\BadImag\Bmp\Sample043\img043-00025.png,6.0
12422,Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00100.png,8.0
6053,Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00159.png,18.0
5673,Chars74kDataset/Img\BadImag\Bmp\Sample061\img061-00019.png,24.0
3430,Chars74kDataset/Img\BadImag\Bmp\Sample050\img050-00092.png,13.0
3574,Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00073.png,14.0
6364,Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00037.png,4.0
719,Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00025.png,13.0
11881,Chars74kDataset/Img\BadImag\Bmp\Sample017\img017-00046.png,6.0
5795,Chars74kDataset/Img\BadImag\Bmp\Sample020\img020-00016.png,9.0
7388,Chars74kDataset/Img\BadImag\Bmp\Sample048\img048-00085.png,11.0
8611,Chars74kDataset/Img\BadImag\Bmp\Sample016\img016-00056.png,5.0
7660,Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00059.png,8.0
4645,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00165.png,4.0
1949,Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00022.png,4.0
3073,Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00020.png,19.0
2405,Chars74kDataset/Img\BadImag\Bmp\Sample040\img040-00012.png,3.0
8771,Chars74kDataset/Img\BadImag\Bmp\Sample017\img017-00065.png,6.0
6024,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00092.png,18.0
4765,Chars74kDataset/Img\GoodImg\Bmp\Sample031\img031-00067.png,20.0
11311,Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00068.png,0.0
11210,Chars74kDataset/Img\GoodImg\Bmp\Sample031\img031-00028.png,20.0
7656,Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00042.png,8.0
672,Chars74kDataset/Img\GoodImg\Bmp\Sample034\img034-00061.png,23.0
3537,Chars74kDataset/Img\BadImag\Bmp\Sample040\img040-00005.png,3.0
12050,Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00165.png,3.0
10618,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00345.png,14.0
8120,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00132.png,4.0
2195,Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00164.png,17.0
1389,Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00070.png,13.0
571,Chars74kDataset/Img\GoodImg\Bmp\Sample048\img048-00046.png,11.0
3735,Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00243.png,4.0
8609,Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00151.png,4.0
1416,Chars74kDataset/Img\GoodImg\Bmp\Sample046\img046-00022.png,9.0
10344,Chars74kDataset/Img\BadImag\Bmp\Sample051\img051-00011.png,14.0
1419,Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00101.png,19.0
8451,Chars74kDataset/Img\BadImag\Bmp\Sample050\img050-00024.png,13.0
3521,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00126.png,17.0
667,Chars74kDataset/Img\BadImag\Bmp\Sample054\img054-00022.png,17.0
820,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00134.png,4.0
2502,Chars74kDataset/Img\GoodImg\Bmp\Sample040\img040-00015.png,3.0
5283,Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00049.png,0.0
9555,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00012.png,0.0
2986,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00179.png,0.0
8273,Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00015.png,3.0
8374,Chars74kDataset/Img\BadImag\Bmp\Sample050\img050-00056.png,13.0
6209,Chars74kDataset/Img\BadImag\Bmp\Sample042\img042-00013.png,5.0
2991,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00396.png,4.0
5209,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00297.png,4.0
6841,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00191.png,4.0
11220,Chars74kDataset/Img\GoodImg\Bmp\Sample045\img045-00009.png,8.0
754,Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00127.png,0.0
10034,Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00206.png,8.0
9063,Chars74kDataset/Img\GoodImg\Bmp\Sample021\img021-00013.png,10.0
7797,Chars74kDataset/Img\BadImag\Bmp\Sample013\img013-00012.png,2.0
10641,Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00072.png,19.0
10983,Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00188.png,14.0
5943,Chars74kDataset/Img\BadImag\Bmp\Sample016\img016-00001.png,5.0
169,Chars74kDataset/Img\GoodImg\Bmp\Sample059\img059-00023.png,22.0
10410,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00024.png,18.0
11662,Chars74kDataset/Img\BadImag\Bmp\Sample043\img043-00001.png,6.0
3519,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00088.png,14.0
7803,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00073.png,4.0
3988,Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00056.png,8.0
2529,Chars74kDataset/Img\GoodImg\Bmp\Sample054\img054-00001.png,17.0
11453,Chars74kDataset/Img\BadImag\Bmp\Sample056\img056-00068.png,19.0
1756,Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00024.png,13.0
3957,Chars74kDataset/Img\BadImag\Bmp\Sample054\img054-00008.png,17.0
5432,Chars74kDataset/Img\BadImag\Bmp\Sample050\img050-00031.png,13.0
4195,Chars74kDataset/Img\GoodImg\Bmp\Sample045\img045-00032.png,8.0
1748,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00101.png,7.0
9663,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00232.png,4.0
1824,Chars74kDataset/Img\BadImag\Bmp\Sample018\img018-00045.png,7.0
11608,Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00098.png,0.0
10483,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00204.png,14.0
2049,Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00142.png,0.0
6413,Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00033.png,14.0
6009,Chars74kDataset/Img\GoodImg\Bmp\Sample038\img038-00003.png,1.0
1041,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00086.png,0.0
12324,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00216.png,14.0
9912,Chars74kDataset/Img\GoodImg\Bmp\Sample017\img017-00018.png,6.0
2684,Chars74kDataset/Img\GoodImg\Bmp\Sample017\img017-00080.png,6.0
3884,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00099.png,18.0
10083,Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00125.png,3.0
6081,Chars74kDataset/Img\GoodImg\Bmp\Sample017\img017-00139.png,6.0
6384,Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00095.png,19.0
7714,Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00078.png,2.0
1574,Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00100.png,3.0
1657,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00103.png,13.0
10798,Chars74kDataset/Img\GoodImg\Bmp\Sample031\img031-00043.png,20.0
12364,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00029.png,7.0
8133,Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00108.png,2.0
19,Chars74kDataset/Img\BadImag\Bmp\Sample031\img031-00064.png,20.0
5507,Chars74kDataset/Img\BadImag\Bmp\Sample022\img022-00023.png,11.0
7510,Chars74kDataset/Img\BadImag\Bmp\Sample018\img018-00058.png,7.0
7475,Chars74kDataset/Img\GoodImg\Bmp\Sample048\img048-00019.png,11.0
59,Chars74kDataset/Img\BadImag\Bmp\Sample023\img023-00031.png,12.0
531,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00248.png,0.0
9883,Chars74kDataset/Img\GoodImg\Bmp\Sample052\img052-00023.png,15.0
12479,Chars74kDataset/Img\GoodImg\Bmp\Sample020\img020-00020.png,9.0
8054,Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00257.png,8.0
6762,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00115.png,0.0
12384,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00055.png,18.0
8858,Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00171.png,13.0
8924,Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00049.png,13.0
5373,Chars74kDataset/Img\GoodImg\Bmp\Sample035\img035-00017.png,24.0
5614,Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00032.png,17.0
1433,Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00128.png,4.0
1827,Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00037.png,0.0
1327,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00276.png,19.0
11945,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00233.png,14.0
1425,Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00005.png,19.0
6776,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00156.png,19.0
11188,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00221.png,0.0
3928,Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00106.png,0.0
1920,Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00116.png,3.0
1590,Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00093.png,4.0
2724,Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00115.png,0.0
9509,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00017.png,4.0
11095,Chars74kDataset/Img\GoodImg\Bmp\Sample058\img058-00002.png,21.0
12402,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00338.png,17.0
5069,Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00119.png,17.0
5334,Chars74kDataset/Img\GoodImg\Bmp\Sample048\img048-00052.png,11.0
7722,Chars74kDataset/Img\GoodImg\Bmp\Sample031\img031-00002.png,20.0
2157,Chars74kDataset/Img\BadImag\Bmp\Sample060\img060-00006.png,23.0
1772,Chars74kDataset/Img\GoodImg\Bmp\Sample033\img033-00064.png,22.0
2618,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00226.png,4.0
8404,Chars74kDataset/Img\GoodImg\Bmp\Sample052\img052-00030.png,15.0
5617,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00023.png,14.0
5840,Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00010.png,15.0
12200,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00017.png,7.0
12328,Chars74kDataset/Img\GoodImg\Bmp\Sample045\img045-00112.png,8.0
10056,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00241.png,4.0
2703,Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00138.png,0.0
2300,Chars74kDataset/Img\GoodImg\Bmp\Sample057\img057-00033.png,20.0
10812,Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00120.png,14.0
12473,Chars74kDataset/Img\BadImag\Bmp\Sample039\img039-00015.png,2.0
3408,Chars74kDataset/Img\GoodImg\Bmp\Sample035\img035-00051.png,24.0
7681,Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00069.png,17.0
1614,Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00024.png,0.0
3479,Chars74kDataset/Img\GoodImg\Bmp\Sample036\img036-00019.png,25.0
1376,Chars74kDataset/Img\GoodImg\Bmp\Sample034\img034-00041.png,23.0
9009,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00133.png,17.0
6388,Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00132.png,13.0
10033,Chars74kDataset/Img\BadImag\Bmp\Sample013\img013-00090.png,2.0
10180,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00083.png,0.0
7118,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00008.png,14.0
7231,Chars74kDataset/Img\BadImag\Bmp\Sample012\img012-00001.png,1.0
10590,Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00201.png,17.0
797,Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00076.png,13.0
8823,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00081.png,14.0
4410,Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00082.png,0.0
9945,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00292.png,17.0
12180,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00141.png,13.0
7902,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00341.png,0.0
9019,Chars74kDataset/Img\GoodImg\Bmp\Sample045\img045-00083.png,8.0
10960,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00020.png,0.0
10891,Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00091.png,19.0
7597,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00061.png,0.0
11801,Chars74kDataset/Img\BadImag\Bmp\Sample013\img013-00031.png,2.0
8164,Chars74kDataset/Img\GoodImg\Bmp\Sample045\img045-00075.png,8.0
11325,Chars74kDataset/Img\BadImag\Bmp\Sample050\img050-00079.png,13.0
7447,Chars74kDataset/Img\BadImag\Bmp\Sample018\img018-00090.png,7.0
10584,Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00106.png,13.0
8913,Chars74kDataset/Img\BadImag\Bmp\Sample055\img055-00057.png,18.0
4753,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00140.png,7.0
4971,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00257.png,0.0
3677,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00326.png,18.0
9366,Chars74kDataset/Img\GoodImg\Bmp\Sample023\img023-00059.png,12.0
5479,Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00006.png,0.0
5623,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00026.png,0.0
8493,Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00152.png,13.0
6897,Chars74kDataset/Img\BadImag\Bmp\Sample022\img022-00062.png,11.0
5460,Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00105.png,4.0
9705,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00182.png,4.0
10510,Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00009.png,13.0
10586,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00249.png,19.0
12447,Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00107.png,14.0
9586,Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00027.png,15.0
11086,Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00135.png,0.0
10724,Chars74kDataset/Img\BadImag\Bmp\Sample054\img054-00001.png,17.0
